N0.,DOI or website,Journal name,Article name,Country,Year,Province,City,Publish year,Location,Longtitude,latitude,SOC,Type of microbial fertilizers,Application（kg/hm2）,Types of microorganisms,n1,Yield1,Yield_SD1,Output_value1,Output_value_SD1,Net_profit1,Net_profit_SD1,Output_input_ratio1,Output_input_ratio_SD1,n2,Yield2,Yield_SD2,Output_value2,Output_value_SD2,Net_profit2,Net_profit_SD2,Output_input_ratio2,Output_input_ratio_SD2
1,https://doi.org/10.13432/j.cnki.jgsau.2022.05.011,Journal of Gansu Agricultural University,Effects of compound microbial fertilizer on the photosynthetic characteristics agronomic traits and yield of dual-purpose Lvbo No. 6 corn,China,2019.5.9,Ningxia,Yinchuan,2022,"Yueyahu Township, Xingqing District, Yinchuan City, Ningxia Hui Autonomous Region",106.95,39,3.259860789,Compound Microbial Fertilizer,375,NA,3,7249.74,286.81,10755.3,21.80555006,479.5,7.633406179,1.0794,0.06357666,3,12160.31,849.78,18141.4,30.80344274,7139.9,131.9684295,1.67042,0.098387738
1,https://doi.org/10.13432/j.cnki.jgsau.2022.05.011,Journal of Gansu Agricultural University,Effects of compound microbial fertilizer on the photosynthetic characteristics agronomic traits and yield of dual-purpose Lvbo No. 6 corn,China,2019.5.9,Ningxia,Yinchuan,2022,"Yueyahu Township, Xingqing District, Yinchuan City, Ningxia Hui Autonomous Region",106.95,39,3.259860789,Compound Microbial Fertilizer,750,NA,3,7249.74,286.81,10755.3,21.80555006,479.5,7.633406179,1.0794,0.06703074,3,11274.9,1357.52,16910.4,28.71324915,5157.3,95.32357338,1.44223,0.089562483
1,https://doi.org/10.13432/j.cnki.jgsau.2022.05.011,Journal of Gansu Agricultural University,Effects of compound microbial fertilizer on the photosynthetic characteristics agronomic traits and yield of dual-purpose Lvbo No. 6 corn,China,2019.5.9,Ningxia,Yinchuan,2022,"Yueyahu Township, Xingqing District, Yinchuan City, Ningxia Hui Autonomous Region",106.95,39,3.259860789,Compound Microbial Fertilizer,1500,NA,3,7249.74,286.81,10755.3,21.80555006,479.5,7.633406179,1.0794,0.07685328,3,17066.3,147.49,25592.4,43.45497195,12401,229.2105624,1.94052,0.139911492
1,https://doi.org/10.13432/j.cnki.jgsau.2022.05.011,Journal of Gansu Agricultural University,Effects of compound microbial fertilizer on the photosynthetic characteristics agronomic traits and yield of dual-purpose Lvbo No. 6 corn,China,2019.5.9,Ningxia,Yinchuan,2022,"Yueyahu Township, Xingqing District, Yinchuan City, Ningxia Hui Autonomous Region",106.95,39,3.259860789,Compound Microbial Fertilizer,3000,NA,3,7249.74,286.81,10755.3,21.80555006,479.5,7.633406179,1.0794,0.06811014,3,19083.78,1443.14,28611.6,48.58146463,12388,228.9702804,1.76132,0.111139292
1,https://doi.org/10.13432/j.cnki.jgsau.2022.05.011,Journal of Gansu Agricultural University,Effects of compound microbial fertilizer on the photosynthetic characteristics agronomic traits and yield of dual-purpose Lvbo No. 6 corn,China,2019.5.9,Ningxia,Yinchuan,2022,"Yueyahu Township, Xingqing District, Yinchuan City, Ningxia Hui Autonomous Region",106.95,39,3.259860789,Compound Microbial Fertilizer,3750,NA,3,7249.74,286.81,10755.3,21.80555006,479.5,7.633406179,1.0794,0.001089245,3,20365.62,1184.41,30451.7,51.70588805,12828.6,237.1139925,1.72129,0.003451601
2,https://www.xdnykj.com/ch/reader/view_abstract.aspx?flag=1&file_no=20220321006&journal_id=xdnykj,Modern Agricultural Science and Technology(现代农业科技),Study on app;ication effect of compound microbial fertilizer on wheat production,China,2020.10.23,Henan,Nanyang,2022,"West of Qinlou Natural Village, Sizhuang Administrative Village, Miaodian Town, Qixian County",114.78,32.922,NA,NA,600,NA,3,9116.67,126.0924522,NA,NA,NA,NA,NA,NA,3,10283.33,227.3947416,NA,NA,NA,NA,NA,NA
3,https://doi.org/10.15979/j.cnki.cn62-1057/s.2018.08.003,Agricultural Science-Technology and Information,Study on the Fertilizer Efficacy Experiment of Compound Microbial Fertilizer on Tomato,China,2016.4.20,Gansu,Baiyin,2018,"Sanhe Village, Dongwan Town, Jingyuan County",104.68,36.604,6.299303944,Compound Microbial Fertilizer,266.6666667,NA,3,72465,1002.261741,79710,161.6059427,71565,1139.279902,9.8,0.56448,3,80205,1773.568994,88230,149.8113571,80452.5,1487.022238,11.3,0.98649
3,https://doi.org/10.15979/j.cnki.cn62-1057/s.2018.08.003,Agricultural Science-Technology and Information,Study on the Fertilizer Efficacy Experiment of Compound Microbial Fertilizer on Tomato,China,2016.4.20,Gansu,Baiyin,2018,"Sanhe Village, Dongwan Town, Jingyuan County",104.68,36.604,6.299303944,Compound Microbial Fertilizer,266.6666667,NA,3,72465,1002.261741,79710,161.6059427,71565,1139.279902,9.8,0.009889388,3,67335,1488.975354,74070,125.7681879,66292.5,1225.29967,9.5,0.019049786
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,10,NA,3,2077.65,28.73592915,NA,NA,NA,NA,NA,NA,3,2378.85,52.60338635,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,20,NA,3,2077.65,28.73592915,NA,NA,NA,NA,NA,NA,3,2627.4,58.09955958,NA,NA,NA,NA,NA,NA
